tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jumlah,jenis_kelamin 
2021,1,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,3,0
2021,3,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,1,0
2021,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,0
2021,3,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,0,0
2021,2,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,0,0
2021,5,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,0,0
2021,7,JAKARTA PUSAT,GAMBIR,GAMBIR,1,0
2021,3,JAKARTA PUSAT,GAMBIR,CIDENG,2,0
2021,1,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2,0
2021,5,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,5,0
2021,6,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,1,0
2021,2,JAKARTA PUSAT,GAMBIR,DURI PULO,4,0
2021,10,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1,0
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,8,0
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARTINI,4,0
2021,4,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,7,0
2021,12,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,10,0
2021,4,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,6,0
2021,8,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,5,0
2021,2,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,8,0
2021,11,JAKARTA PUSAT,KEMAYORAN,SERDANG,9,0
2021,6,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,3,0
2021,12,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,9,0
2021,4,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,4,0
2021,8,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,11,0
2021,4,JAKARTA PUSAT,S E N E N,SENEN,1,0
2021,12,JAKARTA PUSAT,S E N E N,KENARI,2,0
2021,4,JAKARTA PUSAT,S E N E N,PASEBAN,9,0
2021,8,JAKARTA PUSAT,S E N E N,KRAMAT,8,0
2021,3,JAKARTA PUSAT,S E N E N,KWITANG,4,0
2021,7,JAKARTA PUSAT,S E N E N,BUNGUR,6,0
2021,2,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,4,0
2021,10,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,14,0
2021,11,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,11,0
2021,5,JAKARTA PUSAT,MENTENG,MENTENG,7,0
2021,8,JAKARTA PUSAT,MENTENG,PEGANGSAAN,13,0
2021,2,JAKARTA PUSAT,MENTENG,CIKINI,4,0
2021,9,JAKARTA PUSAT,MENTENG,GONDANGDIA,2,0
2021,2,JAKARTA PUSAT,MENTENG,KEBON SIRIH,7,0
2021,1,JAKARTA PUSAT,TANAH ABANG,GELORA,1,0
2021,5,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,9,0
2021,7,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,9,0
2021,3,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,6,0
2021,7,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,5,0
2021,1,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,7,0
2021,10,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,1,0
2021,11,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,4,0
2021,12,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,4,0
2021,2,JAKARTA PUSAT,JOHAR BARU,GALUR,2,0
2021,8,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,7,0
2021,8,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,21,0
2021,4,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,4,0
2021,9,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,10,0
2021,3,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,11,0
2021,7,JAKARTA UTARA,PENJARINGAN,PLUIT,11,0
2021,8,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,6,0
2021,9,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,21,0
2021,10,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,11,0
2021,11,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,6,0
2021,12,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,7,0
2021,4,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,14,0
2021,8,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,10,0
2021,2,JAKARTA UTARA,KOJA,KOJA,9,0
2021,4,JAKARTA UTARA,KOJA,TUGU UTARA,9,0
2021,8,JAKARTA UTARA,KOJA,LAGOA,17,0
2021,1,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,7,0
2021,7,JAKARTA UTARA,KOJA,TUGU SELATAN,13,0
2021,3,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,6,0
2021,7,JAKARTA UTARA,CILINCING,CILINCING,12,0
2021,11,JAKARTA UTARA,CILINCING,SUKAPURA,18,0
2021,11,JAKARTA UTARA,CILINCING,MARUNDA,10,0
2021,11,JAKARTA UTARA,CILINCING,KALIBARU,22,0
2021,2,JAKARTA UTARA,CILINCING,SEMPER TIMUR,15,0
2021,5,JAKARTA UTARA,CILINCING,ROROTAN,16,0
2021,3,JAKARTA UTARA,CILINCING,SEMPER BARAT,14,0
2021,7,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,11,0
2021,5,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,12,0
2021,4,JAKARTA UTARA,PADEMANGAN,ANCOL,10,0
2021,9,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,7,0
2021,4,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,17,0
2021,4,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,10,0
2021,8,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,10,0
2021,2,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,25,0
2021,7,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,17,0
2021,4,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,12,0
2021,5,JAKARTA BARAT,CENGKARENG,KAPUK,41,0
2021,3,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,17,0
2021,2,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1,0
2021,7,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,2,0
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,3,0
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,4,0
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,5,0
2021,6,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,14,0
2021,10,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,10,0
2021,9,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,0,0
2021,11,JAKARTA BARAT,TAMAN SARI,KRUKUT,10,0
2021,1,JAKARTA BARAT,TAMAN SARI,MAPHAR,1,0
2021,2,JAKARTA BARAT,TAMAN SARI,TANGKI,5,0
2021,4,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,1,0
2021,6,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,4,0
2021,5,JAKARTA BARAT,TAMAN SARI,GLODOK,0,0
2021,3,JAKARTA BARAT,TAMAN SARI,PINANGSIA,3,0
2021,7,JAKARTA BARAT,TAMBORA,TAMBORA,1,0
2021,3,JAKARTA BARAT,TAMBORA,KALI ANYAR,5,0
2021,4,JAKARTA BARAT,TAMBORA,DURI UTARA,5,0
2021,8,JAKARTA BARAT,TAMBORA,TANAH SEREAL,5,0
2021,11,JAKARTA BARAT,TAMBORA,KRENDANG,0,0
2021,1,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,4,0
2021,5,JAKARTA BARAT,TAMBORA,ANGKE,5,0
2021,8,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,3,0
2021,2,JAKARTA BARAT,TAMBORA,PEKOJAN,6,0
2021,5,JAKARTA BARAT,TAMBORA,ROA MALAKA,0,0
2021,2,JAKARTA BARAT,TAMBORA,DURI SELATAN,2,0
2021,7,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,13,0
2021,2,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,14,0
2021,8,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,10,0
2021,9,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,9,0
2021,10,JAKARTA BARAT,KEBON JERUK,DURI KEPA,13,0
2021,11,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,15,0
2021,12,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,9,0
2021,1,JAKARTA BARAT,KALI DERES,KALIDERES,16,0
2021,2,JAKARTA BARAT,KALI DERES,SEMANAN,11,0
2021,3,JAKARTA BARAT,KALI DERES,TEGAL ALUR,9,0
2021,4,JAKARTA BARAT,KALI DERES,KAMAL,4,0
2021,5,JAKARTA BARAT,KALI DERES,PEGADUNGAN,14,0
2021,6,JAKARTA BARAT,PAL MERAH,PALMERAH,9,0
2021,7,JAKARTA BARAT,PAL MERAH,SLIPI,3,0
2021,8,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,4,0
2021,9,JAKARTA BARAT,PAL MERAH,JATIPULO,7,0
2021,10,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,10,0
2021,11,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,6,0
2021,12,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,11,0
2021,1,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,7,0
2021,2,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,9,0
2021,3,JAKARTA BARAT,KEMBANGAN,SRENGSENG,14,0
2021,4,JAKARTA BARAT,KEMBANGAN,JOGLO,8,0
2021,5,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,6,0
2021,6,JAKARTA SELATAN,TEBET,TEBET TIMUR,2,0
2021,7,JAKARTA SELATAN,TEBET,TEBET BARAT,6,0
2021,8,JAKARTA SELATAN,TEBET,MENTENG DALAM,6,0
2021,9,JAKARTA SELATAN,TEBET,KEBON BARU,14,0
2021,10,JAKARTA SELATAN,TEBET,BUKIT DURI,8,0
2021,11,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,7,0
2021,12,JAKARTA SELATAN,TEBET,MANGGARAI,10,0
2021,1,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,0,0
2021,2,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,3,0
2021,3,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,5,0
2021,4,JAKARTA SELATAN,SETIA BUDI,KARET,1,0
2021,5,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,10,0
2021,6,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,7,0
2021,7,JAKARTA SELATAN,SETIA BUDI,GUNTUR,1,0
2021,8,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,0,0
2021,9,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,9,0
2021,10,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,3,0
2021,11,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,9,0
2021,12,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,9,0
2021,1,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,1,0
2021,2,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,4,0
2021,3,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,5,0
2021,4,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,6,0
2021,5,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,13,0
2021,6,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,13,0
2021,7,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,5,0
2021,8,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,18,0
2021,9,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,5,0
2021,10,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,11,0
2021,11,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,12,0
2021,12,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,11,0
2021,1,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,14,0
2021,2,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,11,0
2021,3,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,9,0
2021,4,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,1,0
2021,5,JAKARTA SELATAN,CILANDAK,PONDOK LABU,10,0
2021,6,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,4,0
2021,7,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,5,0
2021,8,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,0,0
2021,10,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,3,0
2021,11,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,2,0
2021,5,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,0,0
2021,8,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,1,0
2021,2,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,1,0
2021,9,JAKARTA SELATAN,KEBAYORAN BARU,PULO,1,0
2021,2,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,1,0
2021,1,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,7,0
2021,5,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,7,0
2021,7,JAKARTA SELATAN,PANCORAN,PANCORAN,7,0
2021,3,JAKARTA SELATAN,PANCORAN,KALIBATA,14,0
2021,7,JAKARTA SELATAN,PANCORAN,RAWAJATI,2,0
2021,9,JAKARTA SELATAN,PANCORAN,DUREN TIGA,7,0
2021,10,JAKARTA SELATAN,PANCORAN,PENGADEGAN,7,0
2021,11,JAKARTA SELATAN,PANCORAN,CIKOKO,3,0
2021,12,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,12,0
2021,1,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,11,0
2021,2,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,9,0
2021,3,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,12,0
2021,4,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,7,0
2021,5,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,8,0
2021,6,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,12,0
2021,7,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,19,0
2021,8,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,21,0
2021,9,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,9,0
2021,10,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,14,0
2021,11,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,1,0
2021,12,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,6,0
2021,1,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,4,0
2021,2,JAKARTA TIMUR,MATRAMAN,PALMERIAM,0,0
2021,3,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,2,0
2021,4,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,11,0
2021,5,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,11,0
2021,6,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,9,0
2021,7,JAKARTA TIMUR,PULO GADUNG,CIPINANG,14,0
2021,8,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,7,0
2021,9,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,10,0
2021,10,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,11,0
2021,11,JAKARTA TIMUR,PULO GADUNG,JATI,3,0
2021,12,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,5,0
2021,1,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,10,0
2021,2,JAKARTA TIMUR,JATINEGARA,BALI MESTER,2,0
2021,3,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,6,0
2021,4,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,10,0
2021,5,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,13,0
2021,6,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,16,0
2021,7,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,12,0
2021,8,JAKARTA TIMUR,KRAMATJATI,KRAMATJATI,4,0
2021,9,JAKARTA TIMUR,KRAMATJATI,TENGAH,10,0
2021,10,JAKARTA TIMUR,KRAMATJATI,DUKUH,5,0
2021,11,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,8,0
2021,12,JAKARTA TIMUR,KRAMATJATI,BALEKAMBANG,10,0
2021,1,JAKARTA TIMUR,KRAMATJATI,CILILITAN,5,0
2021,10,JAKARTA TIMUR,KRAMATJATI,CAWANG,12,0
2021,11,JAKARTA TIMUR,PASAR REBO,GEDONG,8,0
2021,5,JAKARTA TIMUR,PASAR REBO,BARU,12,0
2021,8,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,6,0
2021,2,JAKARTA TIMUR,PASAR REBO,KALISARI,13,0
2021,9,JAKARTA TIMUR,PASAR REBO,PEKAYON,16,0
2021,2,JAKARTA TIMUR,CAKUNG,JATINEGARA,24,0
2021,1,JAKARTA TIMUR,CAKUNG,RAWA TERATE,10,0
2021,5,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,25,0
2021,7,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,6,0
2021,3,JAKARTA TIMUR,CAKUNG,PULO GEBANG,15,0
2021,7,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,10,0
2021,2,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,14,0
2021,3,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,22,0
2021,4,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,21,0
2021,5,JAKARTA TIMUR,DUREN SAWIT,KLENDER,19,0
2021,10,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,18,0
2021,11,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,3,0
2021,5,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,11,0
2021,8,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,8,0
2021,2,JAKARTA TIMUR,MAKASAR,MAKASAR,14,0
2021,9,JAKARTA TIMUR,MAKASAR,PINANGRANTI,8,0
2021,2,JAKARTA TIMUR,MAKASAR,KEBON PALA,15,0
2021,1,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,9,0
2021,5,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,11,0
2021,7,JAKARTA TIMUR,CIRACAS,CIRACAS,14,0
2021,3,JAKARTA TIMUR,CIRACAS,CIBUBUR,10,0
2021,7,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,14,0
2021,6,JAKARTA TIMUR,CIRACAS,SUSUKAN,6,0
2021,7,JAKARTA TIMUR,CIRACAS,RAMBUTAN,10,0
2021,8,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,5,0
2021,9,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,8,0
2021,10,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,8,0
2021,11,JAKARTA TIMUR,CIPAYUNG,MUNJUL,7,0
2021,12,JAKARTA TIMUR,CIPAYUNG,SETU,6,0
2021,1,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,10,0
